alerta_codigo,fecha_raw,fecha,region,nombre,ambito,comuna,estado,superficie_ha,url_poligono,url_ficha,url_archivos,utm_operativas,utm_investigadas,geo_operativas,geo_investigadas,lat_operativa,lon_operativa,meteo_temperatura,meteo_nubosidad,meteo_hum_relativa,meteo_vel_viento,meteo_pendiente,meteo_exposicion,meteo_dir_viento,meteo_topografia,meteo_estacion,meteo_fecha
,24-dic-2025 11:41,,Araucanía,F370 - BUENOS AIRES,CONAF,Angol,En trayecto,0.01,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796454927,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796454927,704483 E 5814249 S 18H,,"37°47'47"" S 72°40'39"" O",,-37.796261,-72.677536,,,,,,,,,,
,24-dic-2025 11:32,,Metropolitana,F396 - LOICA,CONAF,San Pedro,En trayecto,,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796452276,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796452276,,,,,,,27.5 ºC,1/8,28 %,18 km/h,%,SW,SW,Irregular,METEOGRAMA,24-dic-2025 11:48
,24-dic-2025 10:43,,Maule,264 - NUEVO AMANECER,CONAF,Linares,En Combate,0.5,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796437876,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796437876,266232 E 6028222 S 19H,,"35°51'44"" S 71°35'20"" O",,-35.862361,-71.588972,ºC,,%,km/h,%,,,,,
,24-dic-2025 09:53,,Metropolitana,267 - EL RECURSO,CONAF,Buin,Extinguido,0.5,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796421593,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796421593,342635 E 6271107 S 19H,,"33°41'18"" S 70°41'52"" O",,-33.688333,-70.697778,24.9 ºC,0/8,27 %,9.4 km/h,%,,W,,meteograma,24-dic-2025 10:41
,24-dic-2025 00:57,,Ñuble,142 - CAMINO CASAS VIEJAS QUILMO,CONAF,Chillán,Extinguido,0.11,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796346001,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796346001,758815 E 5939924 S 18H,,"36°39'04"" S 72°06'17"" O",,-36.651111,-72.104722,13 ºC,0/8,63 %,10 km/h,5 %,Plano,S,Suave,WINDY,24-dic-2025 01:00
incendio-estado-alerta-20,23-dic-2025 17:49,,Valparaíso,209 - FUNDO LA TIZA,CONAF,Quintero,En Combate,10.0,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=796247384,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796247384,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796247384,273341 E 6369831 S 19H,,"32°47'10"" S 71°25'13"" O",,-32.786111,-71.420222,22 ºC,1/8,59 %,14 km/h,15 %,NE,E,Suave,WINDY,24-dic-2025 18:00
incendio-estado-alerta-10,23-dic-2025 14:45,,Ñuble,141 - CERRO  LA PICOTA II,CONAF,Coelemu,Controlado,2.9,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=796186794,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796186794,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796186794,706264 E 5959050 S 18H,,"36°29'30"" S 72°41'50"" O",,-36.491667,-72.697222,25.7 ºC,0/8,51.1 %,12.3 km/h,40 %,E,NW,Abrupta,BC-LLEUQUE-8-26,23-dic-2025 15:30
incendio-estado-alerta-30,23-dic-2025 13:30,,O'Higgins,155 - CENTRAL RAPEL,CONAF,Litueche,En Combate,700.0,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=796163090,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796163090,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796163090,262843 E 6229692 S 19H,,"34°02'48"" S 71°34'09"" O",,-34.046667,-71.569167,31 ºC,1/8,29 %,3.2 km/h,60 %,S,S,Irregular,kit meteorologico 6b10,23-dic-2025 13:53
,23-dic-2025 13:17,,Maule,262 - ITAHUE 2,CONAF,Río Claro,Controlado,5.0,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796158861,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796158861,284609 E 6107978 S 19H,,"35°08'53"" S 71°21'52"" O",,-35.148056,-71.364444,30.3 ºC,0/8,64.7 %,1.8 km/h,10 %,NW,S,Suave,kestrel maqui 16,23-dic-2025 14:37
,21-dic-2025 16:15,,Tarapacá,5 - PACAGUA,CONAF,Camiña,Extinguido,0.04,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=795670683,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=795670683,437952 E 7854475 S 19K,,"19°24'11"" S 69°35'27"" O",,-19.402993,-69.590959,,,,,,,,,,
incendio-estado-alerta-10,21-dic-2025 14:04,,Valparaíso,197 - LA FORESTA DE ZAPALLAR,CONAF,Zapallar,En Combate,150.0,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=795629276,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=795629276,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=795629276,285139 E 6399768 S 19H,,"32°31'07"" S 71°17'15"" O",,-32.518639,-71.287444,24 ºC,0/8,45 %,17 km/h,100 %,SW,E,Abrupta,WINDY.COM,21-dic-2025 15:00
,18-dic-2025 15:20,,Los Ríos,21 - ISLA GUACAMAYO,CONAF,Valdivia,Controlado,4.4,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=794811908,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=794811908,647987 E 5584865 S 18H,,"39°52'24"" S 73°16'10"" O",,-39.873361,-73.269556,23.2 ºC,0/8,56 %,7.5 km/h,30 %,SW,SE,Irregular,KESTREL,18-dic-2025 17:55
,17-dic-2025 16:05,,Biobío,203 - LAS PENAS,CONAF,Arauco,Bajo observación,20.0,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=794426310,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=794426310,639194 E 5876548 S 18H,,"37°14'50"" S 73°25'50"" O",,-37.247222,-73.430556,ºC,0/8,54 %,9.2 km/h,%,,S,,KESTREL,17-dic-2025 17:50
incendio-estado-alerta-10,17-dic-2025 14:46,,Ñuble,129 - EL QUILLAY,CONAF,Chillán Viejo,Controlado,217.757,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=794391629,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=794391629,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=794391629,750359 E 5940638 S 18H,,"36°38'49"" S 72°11'58"" O",,-36.646944,-72.199444,29.2 ºC,0/8,33.7 %,11.7 km/h,5 %,Plano,S,Suave,PC,17-dic-2025 16:22
,16-dic-2025 15:45,,Biobío,195 - COLONIA SANTA FE,CONAF,Los Angeles,Controlado,104.0,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=794032191,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=794032191,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=794032191,712661 E 5846662 S 18H,,"37°30'09"" S 72°35'39"" O",,-37.5025,-72.594167,29 ºC,0/8,40 %,22 km/h,0 %,Plano,S,Suave,KESTREL,16-dic-2025 16:29
incendio-estado-alerta-10,16-dic-2025 10:54,,Valparaíso,176 - BUCALEMITO,CONAF,Santo Domingo,Controlado,407.0,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=793937874,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=793937874,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=793937874,241935 E 6245789 S 19H,,"33°53'48"" S 71°47'26"" O",,-33.896722,-71.790694,20 ºC,0/8,50.9 %,22 km/h,%,,W,,KESTREL 5-53,16-dic-2025 12:17
incendio-estado-alerta-10,15-dic-2025 17:20,,Metropolitana,239 - QUILAMUTA,CONAF,San Pedro,En Combate,2321.0,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=793730254,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=793730254,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=793730254,268537 E 6248407 S 19H,,"33°52'46"" S 71°30'09"" O",,-33.879306,-71.502583,27.9 ºC,0/8,19 %,36.6 km/h,0 %,Plano,SW,Suave,meteograma,15-dic-2025 17:30
,2-dic-2025 11:45,,Metropolitana,180 - CERRO COMAICO,CONAF,Colina,Extinguido,2.0,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=790204017,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=790204017,345466 E 6325797 S 19H,,"33°11'44"" S 70°39'28"" O",,-33.195667,-70.657833,25 ºC,0/8,26 %,12.4 km/h,00 %,Plano,S,Irregular,Meteograma,2-dic-2025 12:00
